name,domain,skills,experience,education,projects
Candidate 209,Mobile App Developer,"CSS, TypeScript, Selenium, React, Power BI, Express, Java",3.9 years,B.Tech CSE,"Resume Analyzer, Job Portal"
Candidate 210,Full Stack Developer,"NumPy, Selenium, AWS, TypeScript, Power BI, Jira, TensorFlow",2.4 years,B.Tech CE,"Stock Predictor, Blockchain Wallet"
Candidate 211,Cloud Engineer,"AWS, Git, C++, React, Firebase",1.1 years,B.Tech CS,ERP System
Candidate 212,Database Engineer,"Power BI, Spring Boot, Docker, Java, Android Studio, API Development",2.0 years,B.Tech CE,Job Portal
Candidate 213,Database Engineer,"HTML, Android Studio, Pandas, C#, C++, MongoDB",3.5 years,B.Sc IT,"Resume Analyzer, Weather App"
Candidate 214,Blockchain Developer,"NumPy, Kotlin, TypeScript, Selenium",4.3 years,B.Sc IT,"Fake News Detection, Ecommerce API"
Candidate 215,Data Analyst,"Docker, Power BI, Kubernetes, Python",1.7 years,BCA,"Stock Predictor, Mobile Banking UI"
Candidate 216,Frontend Developer,"Jira, Firebase, Hibernate, Java, AWS, Python",2.0 years,B.Tech CSE,"Job Portal, Mobile Banking UI"
Candidate 217,Backend Developer,"Docker, Android Studio, Express, React, Pandas, Git",1.3 years,B.Tech CE,"Mobile Banking UI, ChatGPT Clone"
Candidate 218,AI Engineer,"NumPy, API Development, Power BI, Spring Boot, SQL",3.6 years,B.Sc CS,"Ecommerce API, Portfolio Website"
Candidate 219,Database Engineer,"Pandas, CSS, NumPy, Firebase, Node.js, AWS, Git",4.7 years,B.Tech CSE,"Mobile Banking UI, Weather App"
Candidate 220,Machine Learning Engineer,"Android Studio, MongoDB, Python, TypeScript",1.2 years,B.Tech CSE,"Fake News Detection, ERP System"
Candidate 221,Full Stack Developer,"Kubernetes, Pandas, C#, React, C++, Firebase, TypeScript",1.6 years,B.Sc CS,Stock Predictor
Candidate 222,Mobile App Developer,"Java, Android Studio, SQL, Kubernetes",1.5 years,B.Tech CS,"Weather App, ChatGPT Clone"
Candidate 223,Machine Learning Engineer,"React, HTML, C#, Python, Kubernetes",4.0 years,B.Sc IT,"ChatGPT Clone, Resume Analyzer"
Candidate 224,Blockchain Developer,"Express, HTML, Kotlin, React",4.1 years,M.Tech AI,Fake News Detection
Candidate 225,Cloud Engineer,"Selenium, API Development, Python, Hibernate, HTML, Express, Kubernetes",3.7 years,B.Sc IT,"IoT Smart Home, Portfolio Website"
Candidate 226,Full Stack Developer,"Power BI, Node.js, Android Studio, Hibernate, SQL",0.8 years,B.Sc CS,ChatGPT Clone
Candidate 227,AI Engineer,"Git, React, NumPy, Android Studio, API Development, Pandas",2.2 years,B.Tech CE,Mobile Banking UI
Candidate 228,Mobile App Developer,"TensorFlow, NumPy, Jira, Spring Boot, C++, Kotlin",4.0 years,B.Sc CS,"Mobile Banking UI, Portfolio Website"
Candidate 229,Backend Developer,"AWS, TensorFlow, React, Kubernetes, Spring Boot, MongoDB",3.9 years,B.Tech CE,ERP System
Candidate 230,Blockchain Developer,"Power BI, Jira, Python, NumPy, Kubernetes, Git, Hibernate",1.9 years,B.Sc IT,"Fake News Detection, Mobile Banking UI"
Candidate 231,Machine Learning Engineer,"AWS, Pandas, TensorFlow, Kubernetes, Express",1.1 years,M.Tech AI,ERP System
Candidate 232,Software Tester,"CSS, NumPy, TypeScript, C#, React, Hibernate",4.3 years,MCA,HR Dashboard
Candidate 233,Java Developer,"Spring Boot, Docker, Kubernetes, Pandas",4.6 years,M.Tech AI,ERP System
Candidate 234,Android Developer,"HTML, Kubernetes, AWS, CSS",5.0 years,B.Sc CS,"Blockchain Wallet, Portfolio Website"
Candidate 235,Software Tester,"Selenium, TypeScript, AWS, Firebase, C#, Android Studio",2.4 years,BCA,Portfolio Website
Candidate 236,Mobile App Developer,"Pandas, Spring Boot, NumPy, C++, Jira, HTML, MongoDB",3.4 years,B.Tech IT,"Stock Predictor, ChatGPT Clone"
Candidate 237,Machine Learning Engineer,"Pandas, TensorFlow, Git, Express",2.1 years,B.Tech CSE,"ChatGPT Clone, Resume Analyzer"
Candidate 238,Android Developer,"API Development, React, Java, HTML",1.7 years,B.Sc IT,IoT Smart Home
Candidate 239,Full Stack Developer,"Firebase, C#, Git, Power BI, TypeScript, API Development, Hibernate",3.7 years,B.Tech CS,Ecommerce API
Candidate 240,Java Developer,"NumPy, Android Studio, API Development, AWS, Python, Node.js, TypeScript",4.9 years,B.Tech CS,"Fake News Detection, Mobile Banking UI"
Candidate 241,Frontend Developer,"API Development, Express, Spring Boot, Android Studio, Python, TensorFlow, AWS",2.8 years,M.Tech AI,"Weather App, Fake News Detection"
Candidate 242,Data Analyst,"TensorFlow, Docker, React, Spring Boot",2.1 years,B.Sc IT,ChatGPT Clone
Candidate 243,AI Engineer,"Spring Boot, C#, Python, TensorFlow, Node.js, AWS",1.2 years,M.Tech AI,"HR Dashboard, Blockchain Wallet"
Candidate 244,Data Analyst,"CSS, C++, MongoDB, HTML, Python",4.9 years,B.Tech CS,"Portfolio Website, IoT Smart Home"
Candidate 245,Java Developer,"Selenium, React, Hibernate, AWS, Java",2.8 years,B.Tech CSE,"Job Portal, Mobile Banking UI"
Candidate 246,Data Analyst,"CSS, Node.js, MongoDB, C#, TypeScript, Docker",4.5 years,B.Sc IT,"ChatGPT Clone, Mobile Banking UI"
Candidate 247,DevOps Engineer,"Express, Firebase, HTML, Jira, C++",1.9 years,B.Tech CE,ERP System
Candidate 248,AI Engineer,"Firebase, Java, NumPy, Spring Boot",4.3 years,B.Tech IT,Portfolio Website
Candidate 249,Machine Learning Engineer,"Pandas, NumPy, React, Python",4.7 years,B.Tech CS,"IoT Smart Home, ERP System"
Candidate 250,AI Engineer,"Android Studio, Kotlin, Git, Hibernate, React, Spring Boot, TypeScript",1.4 years,B.Tech CSE,"ChatGPT Clone, Fake News Detection"
Candidate 251,DevOps Engineer,"Java, API Development, React, AWS",4.8 years,MCA,Weather App
Candidate 252,Blockchain Developer,"HTML, API Development, Jira, Kotlin",3.7 years,MCA,"Weather App, Ecommerce API"
Candidate 253,Web Developer,"HTML, React, Node.js, TensorFlow",4.9 years,BCA,"HR Dashboard, ERP System"
Candidate 254,Software Tester,"Firebase, Git, Jira, TensorFlow, Power BI, MongoDB",2.5 years,B.Tech IT,"HR Dashboard, Blockchain Wallet"
Candidate 255,Android Developer,"Kotlin, SQL, Pandas, Firebase, C#",1.2 years,B.Sc IT,Portfolio Website
Candidate 256,Full Stack Developer,"NumPy, C#, MongoDB, React, Docker, HTML, TensorFlow",2.0 years,M.Tech AI,Fake News Detection
Candidate 257,Backend Developer,"Spring Boot, NumPy, CSS, Power BI, C#",2.5 years,B.Tech CS,Resume Analyzer
Candidate 258,Software Tester,"Node.js, React, Python, Git, C++",2.6 years,M.Tech AI,"ChatGPT Clone, Blockchain Wallet"
Candidate 259,Cloud Engineer,"Jira, CSS, Kubernetes, Python",1.5 years,B.Tech CE,"Stock Predictor, Blockchain Wallet"
Candidate 260,Cloud Engineer,"TensorFlow, TypeScript, CSS, C++, MongoDB, Selenium, C#",2.8 years,MCA,"Ecommerce API, Portfolio Website"
Candidate 261,DevOps Engineer,"Selenium, C++, Pandas, Git, C#, Kotlin",2.2 years,MCA,"Ecommerce API, Stock Predictor"
Candidate 262,Mobile App Developer,"C++, API Development, React, SQL, CSS, Hibernate, Kubernetes",2.6 years,MCA,"ChatGPT Clone, ERP System"
Candidate 263,Full Stack Developer,"Pandas, Power BI, AWS, Docker, Android Studio, TypeScript, C++",0.8 years,M.Tech AI,"ERP System, Mobile Banking UI"
Candidate 264,Mobile App Developer,"C#, AWS, Firebase, NumPy",1.5 years,B.Tech CS,ERP System
Candidate 265,Machine Learning Engineer,"Power BI, Kubernetes, HTML, Node.js, TypeScript, API Development, CSS",0.8 years,B.Sc CS,"HR Dashboard, Resume Analyzer"
Candidate 266,Cloud Engineer,"API Development, Spring Boot, Java, Android Studio, Git",2.6 years,MCA,"Resume Analyzer, ChatGPT Clone"
Candidate 267,Blockchain Developer,"Power BI, Kubernetes, Kotlin, C#, Spring Boot, MongoDB",3.5 years,B.Tech IT,Stock Predictor
Candidate 268,DevOps Engineer,"Kubernetes, Hibernate, Spring Boot, NumPy, SQL, Python, MongoDB",1.9 years,B.Sc IT,HR Dashboard
Candidate 269,Android Developer,"Express, Docker, Java, Power BI",1.3 years,B.Sc CS,Job Portal
Candidate 270,Cloud Engineer,"Android Studio, SQL, Selenium, MongoDB",1.8 years,B.Tech IT,"Blockchain Wallet, Stock Predictor"
Candidate 271,Mobile App Developer,"TypeScript, CSS, Pandas, Express, C#, NumPy, C++",1.3 years,B.Tech CSE,"Weather App, IoT Smart Home"
Candidate 272,Android Developer,"SQL, Spring Boot, CSS, Python, React",2.7 years,B.Tech IT,ERP System
Candidate 273,Blockchain Developer,"HTML, C++, Express, Python, Power BI, Git, Hibernate",2.8 years,MCA,"Mobile Banking UI, ChatGPT Clone"
Candidate 274,Cloud Engineer,"Spring Boot, Express, CSS, HTML, Python, AWS, TypeScript",3.9 years,BCA,Job Portal
Candidate 275,Java Developer,"NumPy, MongoDB, React, Git, Spring Boot",1.3 years,BCA,"IoT Smart Home, Stock Predictor"
Candidate 276,Frontend Developer,"Java, Hibernate, Spring Boot, TensorFlow, Power BI",2.2 years,B.Tech CSE,Fake News Detection
Candidate 277,Database Engineer,"Kubernetes, Selenium, C++, API Development, Java, HTML",3.3 years,MCA,"Blockchain Wallet, ERP System"
Candidate 278,DevOps Engineer,"Selenium, MongoDB, Python, TensorFlow, C#",3.8 years,B.Tech CS,Weather App
Candidate 279,Blockchain Developer,"SQL, Kubernetes, Docker, CSS",3.1 years,B.Tech CSE,"ERP System, Stock Predictor"
Candidate 280,Database Engineer,"Kotlin, NumPy, Android Studio, CSS, Power BI",2.7 years,MCA,Portfolio Website
Candidate 281,Backend Developer,"Docker, Python, TypeScript, Spring Boot",1.9 years,MCA,"Stock Predictor, Job Portal"
Candidate 282,AI Engineer,"C++, Selenium, CSS, Pandas, Node.js",2.6 years,B.Tech CSE,"HR Dashboard, Mobile Banking UI"
Candidate 283,Mobile App Developer,"TypeScript, API Development, TensorFlow, Hibernate, SQL, Selenium, Spring Boot",3.4 years,B.Tech IT,"IoT Smart Home, ChatGPT Clone"
Candidate 284,Machine Learning Engineer,"TypeScript, Docker, HTML, MongoDB, Kotlin, Git",2.8 years,MCA,"Mobile Banking UI, Blockchain Wallet"
Candidate 285,Database Engineer,"TensorFlow, Hibernate, CSS, Kotlin, Selenium, Power BI, Kubernetes",3.2 years,MCA,"Resume Analyzer, Stock Predictor"
Candidate 286,Machine Learning Engineer,"Firebase, Jira, Power BI, Kubernetes",3.4 years,B.Sc IT,Ecommerce API
Candidate 287,Database Engineer,"Git, C++, C#, TensorFlow, MongoDB, HTML",4.5 years,B.Sc CS,ERP System
Candidate 288,Data Analyst,"Firebase, Git, HTML, Java, Selenium",3.5 years,MCA,"IoT Smart Home, ERP System"
Candidate 289,AI Engineer,"C++, Node.js, Python, Power BI",3.0 years,MCA,"ERP System, Job Portal"
Candidate 290,Android Developer,"Kotlin, Docker, C#, CSS, TensorFlow, Spring Boot, API Development",0.7 years,M.Tech AI,"Stock Predictor, Fake News Detection"
Candidate 291,Backend Developer,"Git, TypeScript, Android Studio, C#",1.3 years,B.Sc CS,"Job Portal, IoT Smart Home"
Candidate 292,Cloud Engineer,"Android Studio, C++, Selenium, Express, NumPy, Git",4.2 years,B.Tech CE,Ecommerce API
Candidate 293,Mobile App Developer,"TensorFlow, CSS, Git, Pandas, SQL, Kubernetes, Express",3.7 years,MCA,"ERP System, Mobile Banking UI"
Candidate 294,Web Developer,"SQL, Jira, Kubernetes, TypeScript, Hibernate, NumPy",3.5 years,B.Sc CS,"Stock Predictor, Weather App"
Candidate 295,Web Developer,"Java, TensorFlow, Pandas, Selenium, NumPy, Kubernetes, Node.js",1.0 years,B.Tech IT,ERP System
Candidate 296,Backend Developer,"Android Studio, TensorFlow, Node.js, Java, C++, Jira",1.8 years,M.Tech AI,"Fake News Detection, HR Dashboard"
Candidate 297,Java Developer,"TensorFlow, Java, Hibernate, Git, Power BI, React, Spring Boot",1.1 years,B.Tech CSE,"Weather App, Ecommerce API"
Candidate 298,Data Analyst,"TypeScript, Selenium, Docker, Firebase, Power BI",2.2 years,M.Tech AI,Fake News Detection
Candidate 299,Software Tester,"Power BI, Git, C++, Express, Docker, TypeScript, Kubernetes",4.2 years,B.Tech CSE,"Blockchain Wallet, ERP System"
Candidate 300,Database Engineer,"Spring Boot, Git, C++, SQL, Kubernetes, C#",4.8 years,B.Tech IT,"Blockchain Wallet, Weather App"
Candidate 301,Web Developer,"NumPy, Kubernetes, Spring Boot, MongoDB, Firebase, Java, C#",3.6 years,B.Tech CSE,Ecommerce API
Candidate 302,Java Developer,"Java, TypeScript, Spring Boot, Pandas, Express, HTML",3.8 years,BCA,Blockchain Wallet
Candidate 303,Mobile App Developer,"React, Node.js, CSS, Kubernetes, Spring Boot",3.5 years,B.Tech CSE,"IoT Smart Home, Ecommerce API"
Candidate 304,Web Developer,"API Development, Android Studio, Java, HTML, Git, SQL, Pandas",3.0 years,B.Sc IT,"Blockchain Wallet, HR Dashboard"
Candidate 305,Web Developer,"Kotlin, TypeScript, C++, Jira, Pandas",1.5 years,B.Sc CS,"Fake News Detection, ChatGPT Clone"
Candidate 306,Frontend Developer,"Pandas, Hibernate, Jira, MongoDB, AWS",1.1 years,M.Tech AI,"Portfolio Website, Blockchain Wallet"
Candidate 307,Data Analyst,"NumPy, Pandas, C#, Firebase, HTML, SQL, Git",3.7 years,B.Sc CS,IoT Smart Home
Candidate 308,Frontend Developer,"Node.js, Firebase, Jira, TypeScript, C++, Git",3.1 years,B.Tech CS,Weather App
Candidate 309,Data Analyst,"Java, C++, Jira, Selenium, Android Studio, CSS, Express",1.6 years,B.Tech CSE,Fake News Detection
Candidate 310,Web Developer,"CSS, Git, API Development, HTML, Power BI, Docker",1.2 years,M.Tech AI,Stock Predictor
Candidate 311,Backend Developer,"Firebase, Hibernate, Pandas, MongoDB",2.8 years,B.Sc IT,"Ecommerce API, Mobile Banking UI"
Candidate 312,Web Developer,"Kotlin, Docker, Python, SQL, TensorFlow, Firebase, HTML",3.0 years,B.Sc IT,Job Portal
Candidate 313,Cloud Engineer,"API Development, Android Studio, AWS, Express, React, Pandas, Selenium",2.7 years,B.Sc IT,Job Portal
Candidate 314,Data Analyst,"Power BI, AWS, Express, Node.js",3.6 years,B.Tech CS,ERP System
Candidate 315,Android Developer,"Jira, Node.js, API Development, Hibernate",4.8 years,B.Tech IT,"Job Portal, Blockchain Wallet"
Candidate 316,Backend Developer,"Python, SQL, Git, React, TypeScript",1.4 years,B.Tech CSE,Stock Predictor
Candidate 317,Data Analyst,"MongoDB, HTML, Express, TensorFlow, Docker, SQL, Node.js",1.9 years,B.Sc IT,Ecommerce API
Candidate 318,Data Analyst,"Kotlin, Node.js, C++, SQL, Selenium, Hibernate",1.2 years,B.Tech CSE,"Ecommerce API, Resume Analyzer"
Candidate 319,Cloud Engineer,"Jira, AWS, Pandas, Firebase, Express, Java",2.8 years,M.Tech AI,"Job Portal, Portfolio Website"
Candidate 320,AI Engineer,"React, CSS, Pandas, TypeScript",3.6 years,B.Tech IT,HR Dashboard
Candidate 321,DevOps Engineer,"AWS, Hibernate, React, Spring Boot, NumPy, Kubernetes",1.8 years,M.Tech AI,IoT Smart Home
Candidate 322,Mobile App Developer,"Express, Java, HTML, Power BI, Pandas, TypeScript, AWS",3.9 years,B.Sc IT,Ecommerce API
Candidate 323,Blockchain Developer,"Android Studio, API Development, Hibernate, CSS, Express, MongoDB",4.1 years,B.Tech IT,"HR Dashboard, Weather App"
Candidate 324,Android Developer,"Hibernate, Power BI, Android Studio, HTML",2.6 years,B.Tech CS,"Job Portal, Mobile Banking UI"
Candidate 325,Mobile App Developer,"Hibernate, Android Studio, Jira, Firebase, Kotlin",2.9 years,M.Tech AI,Portfolio Website
Candidate 326,Machine Learning Engineer,"Pandas, AWS, SQL, React, HTML, Java",1.1 years,B.Tech IT,"HR Dashboard, Blockchain Wallet"
Candidate 327,Java Developer,"Jira, Node.js, Pandas, Java, Firebase, HTML, TensorFlow",3.9 years,MCA,"Weather App, IoT Smart Home"
Candidate 328,Full Stack Developer,"Power BI, AWS, Git, Hibernate",2.8 years,B.Sc CS,Ecommerce API
Candidate 329,Software Tester,"Power BI, Hibernate, Pandas, TypeScript, Express, C#, AWS",3.5 years,B.Sc IT,Fake News Detection
Candidate 330,Machine Learning Engineer,"Jira, Hibernate, NumPy, Express",4.9 years,B.Tech CE,IoT Smart Home
Candidate 331,Frontend Developer,"Jira, TypeScript, Java, Selenium, HTML, Spring Boot, Android Studio",1.5 years,M.Tech AI,"ChatGPT Clone, Job Portal"
Candidate 332,Software Tester,"TypeScript, AWS, API Development, Selenium, React, Firebase",1.4 years,B.Tech CSE,"Blockchain Wallet, Job Portal"
Candidate 333,Blockchain Developer,"HTML, API Development, SQL, TensorFlow",4.5 years,MCA,"Stock Predictor, ERP System"
Candidate 334,Android Developer,"TypeScript, SQL, Docker, AWS, React, API Development, Android Studio",3.6 years,B.Tech CS,"Portfolio Website, HR Dashboard"
Candidate 335,Frontend Developer,"Selenium, React, Spring Boot, SQL, TypeScript, C#, Jira",0.6 years,B.Tech CE,"Job Portal, Blockchain Wallet"
Candidate 336,Cloud Engineer,"Docker, React, Selenium, Firebase, Pandas, Hibernate",0.6 years,B.Tech IT,Resume Analyzer
Candidate 337,Machine Learning Engineer,"TensorFlow, MongoDB, Power BI, Python",3.2 years,B.Tech CSE,Stock Predictor
Candidate 338,Frontend Developer,"AWS, MongoDB, Hibernate, C#, Spring Boot, Power BI",0.5 years,B.Tech CS,Ecommerce API
Candidate 339,Mobile App Developer,"CSS, Kotlin, Java, Jira, Selenium, C++",2.0 years,BCA,"Resume Analyzer, Ecommerce API"
Candidate 340,Mobile App Developer,"Selenium, HTML, MongoDB, Python",1.0 years,MCA,Ecommerce API
Candidate 341,AI Engineer,"C++, Python, Hibernate, Spring Boot, Jira, Firebase",3.8 years,B.Sc IT,IoT Smart Home
Candidate 342,Database Engineer,"Git, NumPy, Spring Boot, Power BI, Kubernetes, Selenium, MongoDB",2.3 years,B.Tech IT,"Ecommerce API, HR Dashboard"
Candidate 343,DevOps Engineer,"React, NumPy, C#, Firebase, AWS, Express, MongoDB",0.5 years,B.Sc IT,Stock Predictor
Candidate 344,Web Developer,"Express, Docker, Selenium, C#",4.3 years,M.Tech AI,Weather App
Candidate 345,Software Tester,"Express, AWS, Python, C++, Node.js",2.5 years,B.Sc IT,HR Dashboard
Candidate 346,Web Developer,"HTML, Kotlin, C++, Power BI, Android Studio, Java, Python",0.8 years,B.Sc IT,Fake News Detection
Candidate 347,Cloud Engineer,"Node.js, Docker, Spring Boot, Kubernetes",2.5 years,M.Tech AI,"Stock Predictor, Portfolio Website"
Candidate 348,AI Engineer,"Jira, MongoDB, Hibernate, CSS",3.1 years,B.Sc IT,"Ecommerce API, ERP System"
Candidate 349,AI Engineer,"AWS, Kubernetes, Git, Kotlin, TensorFlow, TypeScript, Docker",4.3 years,MCA,"HR Dashboard, Blockchain Wallet"
Candidate 350,Blockchain Developer,"TensorFlow, TypeScript, Hibernate, MongoDB, API Development, Git",1.9 years,M.Tech AI,"Job Portal, Blockchain Wallet"
Candidate 351,Blockchain Developer,"Node.js, API Development, C#, TensorFlow, AWS",0.6 years,M.Tech AI,"Resume Analyzer, Stock Predictor"
Candidate 352,AI Engineer,"Jira, Hibernate, Python, Express, NumPy, HTML",1.8 years,M.Tech AI,Mobile Banking UI
Candidate 353,Frontend Developer,"API Development, SQL, NumPy, Spring Boot",3.2 years,B.Sc IT,Fake News Detection
Candidate 354,Web Developer,"Spring Boot, Pandas, HTML, Jira, C++, CSS, Hibernate",2.0 years,B.Tech CE,"Job Portal, Blockchain Wallet"
Candidate 355,Backend Developer,"Hibernate, SQL, API Development, CSS, C#, TensorFlow, Express",3.3 years,B.Sc CS,"Weather App, Job Portal"
Candidate 356,Mobile App Developer,"Jira, C++, Android Studio, Spring Boot, API Development, Docker",1.0 years,B.Tech IT,ChatGPT Clone
Candidate 357,Backend Developer,"C++, CSS, HTML, Express, Node.js, TypeScript",3.2 years,B.Sc IT,"Mobile Banking UI, Portfolio Website"
Candidate 358,Data Analyst,"TypeScript, AWS, Express, MongoDB",3.8 years,MCA,"Stock Predictor, HR Dashboard"
Candidate 359,Backend Developer,"Firebase, Power BI, Java, Spring Boot, C++, TensorFlow",4.0 years,B.Tech IT,ERP System
Candidate 360,Full Stack Developer,"HTML, React, TypeScript, API Development, Kotlin",1.6 years,B.Sc IT,"Portfolio Website, IoT Smart Home"
Candidate 361,Software Tester,"Java, HTML, AWS, Kotlin, Express",1.2 years,MCA,HR Dashboard
Candidate 362,Cloud Engineer,"React, Kotlin, Python, Android Studio, CSS, Kubernetes, Git",4.9 years,MCA,"HR Dashboard, ChatGPT Clone"
Candidate 363,Blockchain Developer,"SQL, Git, C++, AWS, Jira, Hibernate",4.3 years,B.Sc CS,"ChatGPT Clone, Mobile Banking UI"
Candidate 364,Software Tester,"Express, React, Pandas, TensorFlow, TypeScript, API Development, Java",0.6 years,B.Tech IT,ERP System
Candidate 365,Java Developer,"Kubernetes, API Development, TypeScript, Firebase, Power BI",1.1 years,B.Tech CSE,"Weather App, Ecommerce API"
Candidate 366,Backend Developer,"Java, Pandas, Node.js, Spring Boot, Kubernetes, Express, React",2.1 years,B.Sc CS,Mobile Banking UI
Candidate 367,Database Engineer,"MongoDB, Git, TypeScript, Docker, SQL, Selenium, Java",4.0 years,M.Tech AI,Weather App
Candidate 368,AI Engineer,"MongoDB, Pandas, Kubernetes, TypeScript, Android Studio",3.0 years,M.Tech AI,Job Portal
Candidate 369,Software Tester,"Spring Boot, Kubernetes, Jira, SQL",3.9 years,B.Sc IT,HR Dashboard
Candidate 370,Software Tester,"HTML, Android Studio, Firebase, Power BI",4.5 years,B.Tech CE,Portfolio Website
Candidate 371,AI Engineer,"MongoDB, Jira, API Development, NumPy, TypeScript, TensorFlow, Android Studio",1.0 years,B.Tech CSE,ERP System
Candidate 372,Cloud Engineer,"Docker, HTML, CSS, MongoDB",4.3 years,MCA,Fake News Detection
Candidate 373,Software Tester,"MongoDB, API Development, TensorFlow, C#, Git, Express, C++",2.8 years,MCA,"HR Dashboard, Mobile Banking UI"
Candidate 374,Database Engineer,"Kubernetes, Python, AWS, Pandas, TensorFlow",4.0 years,B.Tech CE,Resume Analyzer
Candidate 375,Backend Developer,"SQL, AWS, Firebase, Python, Git, Spring Boot",1.9 years,MCA,"Fake News Detection, Resume Analyzer"
Candidate 376,Blockchain Developer,"API Development, AWS, Pandas, Hibernate, TypeScript, C#, Android Studio",1.5 years,B.Tech CS,"ChatGPT Clone, Weather App"
Candidate 377,Data Analyst,"NumPy, Spring Boot, Java, AWS, Jira",4.8 years,B.Tech CE,Job Portal
Candidate 378,Mobile App Developer,"Firebase, Jira, Power BI, Git, Selenium, SQL",2.4 years,B.Tech CSE,Job Portal
Candidate 379,DevOps Engineer,"Jira, Firebase, CSS, Spring Boot, NumPy, C++",2.4 years,BCA,"HR Dashboard, Ecommerce API"
Candidate 380,Machine Learning Engineer,"CSS, Power BI, Kotlin, C++, Hibernate, Selenium, Spring Boot",0.6 years,M.Tech AI,"Job Portal, Mobile Banking UI"
Candidate 381,Cloud Engineer,"C++, Firebase, React, CSS, AWS, SQL, MongoDB",0.9 years,B.Tech CE,Ecommerce API
Candidate 382,DevOps Engineer,"Spring Boot, Jira, Git, Node.js, HTML, Pandas",3.9 years,B.Tech CSE,"Stock Predictor, HR Dashboard"
Candidate 383,Data Analyst,"HTML, Spring Boot, Power BI, C++",2.7 years,B.Tech CS,IoT Smart Home
Candidate 384,Android Developer,"Express, MongoDB, Kubernetes, HTML",1.8 years,BCA,"Portfolio Website, Stock Predictor"
Candidate 385,Java Developer,"Firebase, Hibernate, C++, Android Studio, Git",2.7 years,B.Tech CE,"Weather App, ChatGPT Clone"
Candidate 386,AI Engineer,"MongoDB, Jira, Node.js, Java, TensorFlow",0.7 years,B.Tech CSE,Stock Predictor
Candidate 387,Machine Learning Engineer,"Node.js, Express, Git, NumPy, Python",5.0 years,MCA,ChatGPT Clone
Candidate 388,Full Stack Developer,"Spring Boot, Selenium, Jira, Node.js, Pandas, Git, TensorFlow",4.2 years,BCA,"Blockchain Wallet, HR Dashboard"
Candidate 389,Machine Learning Engineer,"NumPy, Python, TensorFlow, MongoDB, HTML, Selenium, Java",4.2 years,BCA,HR Dashboard
Candidate 390,Blockchain Developer,"Pandas, Express, Java, C#, Firebase, NumPy",2.3 years,M.Tech AI,ERP System
Candidate 391,DevOps Engineer,"Firebase, Spring Boot, Power BI, React, AWS, Docker",1.9 years,M.Tech AI,"IoT Smart Home, Blockchain Wallet"
Candidate 392,Cloud Engineer,"NumPy, Pandas, SQL, HTML, Java, Jira",1.4 years,B.Tech IT,Weather App
Candidate 393,Blockchain Developer,"Power BI, Node.js, Jira, C#",0.7 years,B.Tech CS,IoT Smart Home
Candidate 394,Data Analyst,"Docker, Python, Kubernetes, React",0.6 years,B.Tech CE,Stock Predictor
Candidate 395,Software Tester,"Jira, CSS, NumPy, C++, Power BI, Node.js",0.5 years,BCA,"Blockchain Wallet, Weather App"
Candidate 396,Database Engineer,"Node.js, Kotlin, TypeScript, Jira, C++, Spring Boot",1.6 years,B.Sc CS,"HR Dashboard, IoT Smart Home"
Candidate 397,Mobile App Developer,"TensorFlow, C#, MongoDB, Jira, Android Studio, Docker",4.9 years,BCA,"Portfolio Website, Ecommerce API"
Candidate 398,Frontend Developer,"AWS, Git, Kotlin, API Development, Firebase",4.7 years,B.Tech CSE,Ecommerce API
Candidate 399,DevOps Engineer,"Java, C#, HTML, AWS, Android Studio, CSS",1.3 years,B.Sc CS,"Ecommerce API, Blockchain Wallet"
Candidate 400,Java Developer,"Spring Boot, Power BI, Express, Jira, Python",2.3 years,B.Tech CS,Stock Predictor
Candidate 401,Software Tester,"Android Studio, Python, Jira, Firebase",0.9 years,M.Tech AI,Resume Analyzer
Candidate 402,Backend Developer,"AWS, Express, TypeScript, Power BI, Kotlin, Spring Boot",2.3 years,B.Tech IT,Weather App
Candidate 403,Cloud Engineer,"CSS, Java, Docker, Python, TypeScript, MongoDB",3.0 years,B.Tech IT,Weather App
Candidate 404,Cloud Engineer,"API Development, CSS, HTML, TensorFlow, Kubernetes, Express",4.3 years,M.Tech AI,"Stock Predictor, IoT Smart Home"
Candidate 405,Java Developer,"Node.js, Selenium, TensorFlow, AWS",1.1 years,M.Tech AI,"Job Portal, Stock Predictor"
Candidate 406,Machine Learning Engineer,"React, Firebase, Kotlin, SQL, Jira, TypeScript",4.2 years,M.Tech AI,ChatGPT Clone
Candidate 407,Java Developer,"API Development, TensorFlow, AWS, CSS, MongoDB, Kubernetes",4.8 years,B.Tech IT,Weather App
Candidate 408,Web Developer,"C#, Java, TensorFlow, Jira, Android Studio, Spring Boot",1.8 years,B.Sc CS,ERP System
Candidate 409,Java Developer,"Kubernetes, CSS, Git, Kotlin",2.6 years,MCA,Job Portal
Candidate 410,Data Analyst,"Selenium, Android Studio, C#, Git, Firebase",0.9 years,M.Tech AI,"Portfolio Website, Resume Analyzer"
Candidate 411,Machine Learning Engineer,"Kotlin, TypeScript, API Development, TensorFlow, Pandas",1.5 years,M.Tech AI,Weather App
Candidate 412,Backend Developer,"Git, TypeScript, Kotlin, C#, API Development, Power BI",3.1 years,MCA,Weather App
Candidate 413,Frontend Developer,"Kubernetes, NumPy, Git, Kotlin, TypeScript, C#, SQL",4.5 years,MCA,"Job Portal, Resume Analyzer"
